riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,initITIstatic,initITIdynamic,cgeRDMstartTxt.started,cgeRDMstartResp.started,cgeRDMstartResp.keys,cgeRDMstartResp.rt,pracStartTxt.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtxt.started,pracTriNum.started,pracLossTxt.started,pracGainTxt.started,pracSafeTxt.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespTxt.started,pracRiskOC.started,pracSafeOC.started,pracOCtxt.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,pracNoRespTxt.stopped,pracRiskOC.stopped,pracSafeOC.stopped,pracOCtxt.stopped,pracHideRisk.stopped,statStartTxt.started,statStartResp.started,statStartResp.keys,statStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtxt.started,realPracNum.started,realLossTxt.started,realGainTxt.started,realSafeTxt.started,realVleft.started,realNright.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiRealFix.started,statNoRespTxt.started,statRiskOC.started,statSafeOC.started,statOCtxt.started,statHideRisk.started,outcomes,choices,itiRealFix.started,itiRealFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFitTxt.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,"[3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3]","[3, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3, 3.5, 3.5, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3.5, 3, 3, 3, 3, 3.5, 3, 3.5, 3.5, 3, 3, 3, 3.5, 3, 3, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3, 3, 3.5, 3, 3, 3, 3, 3.5, 3.5, 3, 3.5, 3, 3, 3.5, 3, 3, 3, 3.5, 3, 3, 3.5, 3, 3.5, 3.5, 3.5, 3.5, 3, 3, 3.5, 3.5, 3]",14.964006499998504,16.958806099999492,return,0.9881110999958764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_20h57.07.451,cgeRDMtask,2022.2.4,60.07878732275152,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.97383389999959,19.970907499999157,v,0.5975397000001976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_20h57.07.451,cgeRDMtask,2022.2.4,60.07878732275152,
18.23,0,9.45,1,3,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,20.6397094999993,20.6397094999993,20.6397094999993,20.6397094999993,20.6397094999993,20.6397094999993,20.6397094999993,20.6397094999993,20.6397094999993,20.6397094999993,20.6397094999993,v,1.0554240999990725,21.71813900000052,22.7377353999982,22.7377353999982,22.7377353999982,22.7377353999982,22.7377353999982,22.7377353999982,0,23.748471800001425,26.760678499998903,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,999,2023-09-30_20h57.07.451,cgeRDMtask,2022.2.4,60.07878732275152,
53.27,0,35.16,1,3.5,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,26.760678499998903,26.760678499998903,26.760678499998903,26.760678499998903,26.760678499998903,26.760678499998903,26.760678499998903,26.760678499998903,26.760678499998903,26.760678499998903,26.760678499998903,n,0.8724861999980931,27.65912970000136,28.679393499998696,28.679393499998696,28.679393499998696,28.679393499998696,28.679393499998696,28.679393499998696,35.16,29.689528099999734,33.20674009999857,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,999,2023-09-30_20h57.07.451,cgeRDMtask,2022.2.4,60.07878732275152,
8.27,0,1.15,1,3,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,33.20674009999857,33.20674009999857,33.20674009999857,33.20674009999857,33.20674009999857,33.20674009999857,33.20674009999857,33.20674009999857,33.20674009999857,33.20674009999857,33.20674009999857,v,1.9067188000008173,35.131628700000874,36.146468099999765,36.146468099999765,36.146468099999765,36.146468099999765,36.146468099999765,36.146468099999765,1.15,37.14546649999829,40.15723799999978,37.14546649999829,37.14546649999829,37.14546649999829,37.14546649999829,37.14546649999829,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,999,2023-09-30_20h57.07.451,cgeRDMtask,2022.2.4,60.07878732275152,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.15723799999978,40.15723799999978,v,1.8345914999954402,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2023-09-30_20h57.07.451,cgeRDMtask,2022.2.4,60.07878732275152,
,,,,,2,17.73,0.0,3.13,0,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.03212169999824,42.03212169999824,42.03212169999824,42.03212169999824,42.03212169999824,42.03212169999824,42.03212169999824,42.03212169999824,42.03212169999824,42.03212169999824,42.03212169999824,2,v,1.9240144999967015,43.985202600000775,44.99983269999939,44.99983269999939,44.99983269999939,44.99983269999939,44.99983269999939,3.13,0,45.99809269999969,49.01062939999974,,,999,2023-09-30_20h57.07.451,cgeRDMtask,2022.2.4,60.07878732275152,
,,,,,2,20.03,0.0,1.99,0,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.01062939999974,49.01062939999974,49.01062939999974,49.01062939999974,49.01062939999974,49.01062939999974,49.01062939999974,49.01062939999974,49.01062939999974,49.01062939999974,49.01062939999974,2,n,1.26218649999646,50.291768999999476,51.30699299999833,51.30699299999833,51.30699299999833,51.30699299999833,51.30699299999833,20.03,1,52.30543570000009,55.31838169999901,,,999,2023-09-30_20h57.07.451,cgeRDMtask,2022.2.4,60.07878732275152,
,,,,,2,28.21,0.0,3.89,0,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.31838169999901,55.31838169999901,55.31838169999901,55.31838169999901,55.31838169999901,55.31838169999901,55.31838169999901,55.31838169999901,55.31838169999901,55.31838169999901,55.31838169999901,2,v,1.6495509000014863,56.99821829999928,58.013700999999855,58.013700999999855,58.013700999999855,58.013700999999855,58.013700999999855,3.89,0,59.01217009999891,62.807744400000956,,,999,2023-09-30_20h57.07.451,cgeRDMtask,2022.2.4,60.07878732275152,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../CGE/bespoke_choicesets/bespoke_choiceset_rhoInd004_muInd201.csv,62.807744400000956,,,,,,
